"station.id","station.name","latitude","longitude","year"
373,"Willoughby Ave & Walworth St",40.69331716,-73.95381995,2013
375,"Mercer St & Bleecker St",40.72679454,-73.99695094,2013
376,"John St & William St",40.70862144,-74.00722156,2013
377,"6 Ave & Canal St",40.72243797,-74.00566443,2013
379,"W 31 St & 7 Ave",40.749156,-73.9916,2013
380,"W 4 St & 7 Ave S",40.73401143,-74.00293877,2013
382,"University Pl & E 14 St",40.73492695,-73.99200509,2013
383,"Greenwich Ave & Charles St",40.735238,-74.000271,2013
384,"Fulton St & Washington Ave",40.683048,-73.964915,2013
385,"E 55 St & 2 Ave",40.75797322,-73.96603308,2013
386,"Centre St & Worth St",40.71494807,-74.00234482,2013
387,"Centre St & Chambers St",40.71273266,-74.0046073,2013
388,"W 26 St & 10 Ave",40.749717753,-74.002950346,2013
389,"Broadway & Berry St",40.71044554,-73.96525063,2013
390,"Duffield St & Willoughby St",40.69221589,-73.9842844,2013
391,"Clark St & Henry St",40.69760127,-73.99344559,2013
392,"Jay St & Tech Pl",40.695065,-73.987167,2013
393,"E 5 St & Avenue C",40.72299208,-73.97995466,2013
394,"E 9 St & Avenue C",40.72521311,-73.97768752,2013
395,"Bond St & Schermerhorn St",40.68807003,-73.98410637,2013
396,"Lefferts Pl & Franklin Ave",40.680342423,-73.9557689392,2013
397,"Fulton St & Clermont Ave",40.68415748,-73.96922273,2013
398,"Atlantic Ave & Furman St",40.69165183,-73.9999786,2013
399,"Lafayette Ave & St James Pl",40.68851534,-73.9647628,2013
400,"Pitt St & Stanton St",40.71926081,-73.98178024,2013
401,"Allen St & Rivington St",40.72019576,-73.98997825,2013
402,"Broadway & E 22 St",40.7403432,-73.98955109,2013
403,"E 2 St & 2 Ave",40.72502876,-73.99069656,2013
405,"Washington St & Gansevoort St",40.739323,-74.008119,2013
406,"Hicks St & Montague St",40.69512845,-73.99595065,2013
407,"Henry St & Poplar St",40.700469,-73.991454,2013
408,"Market St & Cherry St",40.71076228,-73.99400398,2013
409,"DeKalb Ave & Skillman St",40.6906495,-73.95643107,2013
410,"Suffolk St & Stanton St",40.72066442,-73.98517977,2013
411,"E 6 St & Avenue D",40.72228087,-73.97668709,2013
412,"Forsyth St & Canal St",40.7158155,-73.99422366,2013
414,"Pearl St & Anchorage Pl",40.70281858,-73.98765762,2013
415,"Pearl St & Hanover Square",40.7047177,-74.00926027,2013
416,"Cumberland St & Lafayette Ave",40.68753406,-73.97265183,2013
417,"Barclay St & Church St",40.71291224,-74.01020234,2013
418,"Front St & Gold St",40.70224,-73.982578,2013
419,"Carlton Ave & Park Ave",40.69580705,-73.97355569,2013
420,"Clermont Ave & Lafayette Ave",40.68764484,-73.96968902,2013
421,"Clermont Ave & Park Ave",40.69573398,-73.97129668,2013
422,"W 59 St & 10 Ave",40.770513,-73.988038,2013
423,"W 54 St & 9 Ave",40.76584941,-73.98690506,2013
426,"West St & Chambers St",40.71754834,-74.01322069,2013
427,"Bus Slip & State St",40.701907,-74.013942,2013
428,"E 3 St & 1 Ave",40.72467721,-73.98783413,2013
430,"York St & Jay St",40.7014851,-73.98656928,2013
432,"E 7 St & Avenue A",40.72621788,-73.98379855,2013
433,"E 13 St & Avenue A",40.72955361,-73.98057249,2013
434,"9 Ave & W 18 St",40.74317449,-74.00366443,2013
435,"W 21 St & 6 Ave",40.74173969,-73.99415556,2013
436,"Hancock St & Bedford Ave",40.68216564,-73.95399026,2013
437,"Macon St & Nostrand Ave",40.6809833854,-73.9500479759,2013
438,"St Marks Pl & 1 Ave",40.72779126,-73.98564945,2013
439,"E 4 St & 2 Ave",40.7262807,-73.98978041,2013
440,"E 45 St & 3 Ave",40.75255434,-73.97282625,2013
441,"E 52 St & 2 Ave",40.756014,-73.967416,2013
442,"W 27 St & 7 Ave",40.746647,-73.993915,2013
443,"Bedford Ave & S 9 St",40.70853074,-73.96408963,2013
444,"Broadway & W 24 St",40.7423543,-73.98915076,2013
445,"E 10 St & Avenue A",40.72740794,-73.98142006,2013
446,"W 24 St & 7 Ave",40.74487634,-73.99529885,2013
447,"8 Ave & W 52 St",40.76370739,-73.9851615,2013
448,"W 37 St & 10 Ave",40.75660359,-73.9979009,2013
449,"W 52 St & 9 Ave",40.76461837,-73.98789473,2013
450,"W 49 St & 8 Ave",40.76227205,-73.98788205,2013
453,"W 22 St & 8 Ave",40.74475148,-73.99915362,2013
454,"E 51 St & 1 Ave",40.75455731,-73.96592976,2013
455,"1 Ave & E 44 St",40.75001986,-73.96905301,2013
456,"E 53 St & Madison Ave",40.7597108,-73.97402311,2013
457,"Broadway & W 58 St",40.76695317,-73.98169333,2013
458,"11 Ave & W 27 St",40.751396,-74.005226,2013
459,"W 20 St & 11 Ave",40.746745,-74.007756,2013
460,"S 4 St & Wythe Ave",40.71285887,-73.96590294,2013
461,"E 20 St & 2 Ave",40.73587678,-73.98205027,2013
462,"W 22 St & 10 Ave",40.74691959,-74.00451887,2013
463,"9 Ave & W 16 St",40.74206539,-74.00443172,2013
465,"Broadway & W 41 St",40.75513557,-73.98658032,2013
466,"W 25 St & 6 Ave",40.74395411,-73.99144871,2013
467,"Dean St & 4 Ave",40.68312489,-73.97895137,2013
468,"Broadway & W 55 St",40.7652654,-73.98192338,2013
469,"Broadway & W 53 St",40.76344058,-73.98268129,2013
470,"W 20 St & 8 Ave",40.74345335,-74.00004031,2013
471,"Grand St & Havemeyer St",40.71286844,-73.95698119,2013
472,"E 32 St & Park Ave",40.7457121,-73.98194829,2013
473,"Rivington St & Chrystie St",40.72110063,-73.9919254,2013
474,"5 Ave & E 29 St",40.7451677,-73.98683077,2013
475,"E 16 St & Irving Pl",40.73524276,-73.98758561,2013
476,"E 31 St & 3 Ave",40.74394314,-73.97966069,2013
477,"W 41 St & 8 Ave",40.75640548,-73.9900262,2013
478,"11 Ave & W 41 St",40.76030096,-73.99884222,2013
479,"9 Ave & W 45 St",40.76019252,-73.9912551,2013
480,"W 53 St & 10 Ave",40.76669671,-73.99061728,2013
481,"S 3 St & Bedford Ave",40.71260486,-73.96264403,2013
482,"W 15 St & 7 Ave",40.73935542,-73.99931783,2013
483,"E 12 St & 3 Ave",40.73223272,-73.98889957,2013
484,"W 44 St & 5 Ave",40.75500254,-73.98014437,2013
485,"W 37 St & 5 Ave",40.75038009,-73.98338988,2013
486,"Broadway & W 29 St",40.7462009,-73.98855723,2013
487,"E 20 St & FDR Drive",40.73314259,-73.97573881,2013
488,"W 39 St & 9 Ave",40.75645824,-73.99372222,2013
489,"10 Ave & W 28 St",40.75066386,-74.00176802,2013
490,"8 Ave & W 33 St",40.751551,-73.993934,2013
491,"E 24 St & Park Ave S",40.74096374,-73.98602213,2013
492,"W 33 St & 7 Ave",40.75019995,-73.99093085,2013
493,"W 45 St & 6 Ave",40.7568001,-73.98291153,2013
494,"W 26 St & 8 Ave",40.74734825,-73.99723551,2013
495,"W 47 St & 10 Ave",40.76269882,-73.99301222,2013
496,"E 16 St & 5 Ave",40.73726186,-73.99238967,2013
