index,station.id,station.name,latitude,longitude,boroname
112,304,Broadway & Battery Pl,40.70463334,-74.01361706,Outer Boro
113,351,Front St & Maiden Ln,40.70530954,-74.00612572,Outer Boro
114,3073,Division Ave & Hooper St,40.70691254,-73.95441667,Outer Boro
115,264,Maiden Ln & Pearl St,40.70706456,-74.00731853,Outer Boro
116,264,Maiden Ln & Pearl St,40.70706456,-74.00731853,Outer Boro
117,3075,Division Ave & Marcy Ave,40.70708701,-73.95796783,Outer Boro
118,306,Cliff St & Fulton St,40.70823502,-74.00530063,Outer Boro
119,282,Kent Ave & S 11 St,40.70827295,-73.96834101,Outer Boro
120,195,Liberty St & Broadway,40.70905623,-74.01043382,Manhattan
121,316,Fulton St & William St,40.70955958,-74.00653609,Outer Boro
122,389,Broadway & Berry St,40.71044554,-73.96525063,Outer Boro
123,389,Broadway & Berry St,40.71044554,-73.96525063,Outer Boro
124,532,S 5 Pl & S 4 St,40.710451,-73.960876,
125,532,S 5 Pl & S 4 St,40.710451,-73.960876,
126,532,S 5 Pl & S 4 St,40.710451,-73.960876,
127,532,S 5 Pl & S 4 St,40.710451,-73.960876,
128,532,S 5 Pl & S 4 St,40.710451,-73.960876,
129,532,S 5 Pl & S 4 St,40.710451,-73.960876,
130,532,S 5 Pl & S 4 St,40.710451,-73.960876,
131,224,Spruce St & Nassau St,40.71146364,-74.00552427,
132,224,Spruce St & Nassau St,40.71146364,-74.00552427,
133,224,Spruce St & Nassau St,40.71146364,-74.00552427,
134,3002,South End Ave & Liberty St,40.711512,-74.015756,
135,3081,Graham Ave & Grand St,40.711863,-73.944024,
136,3081,Graham Ave & Grand St,40.711863,-73.944024,
137,332,Cherry St,40.71219906,-73.97948148,Manhattan
138,332,Cherry St,40.71219906,-73.97948148,Manhattan
139,481,S 3 St & Bedford Ave,40.71260486,-73.96264403,
140,387,Centre St & Chambers St,40.71273266,-74.0046073,Manhattan
141,387,Centre St & Chambers St,40.71273266,-74.0046073,Manhattan
142,387,Centre St & Chambers St,40.71273266,-74.0046073,Manhattan
143,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,
144,471,Grand St & Havemeyer St,40.71286844,-73.95698119,
145,471,Grand St & Havemeyer St,40.71286844,-73.95698119,
146,417,Barclay St & Church St,40.71291224,-74.01020234,Manhattan
147,308,St James Pl & Oliver St,40.71307916,-73.99851193,
148,308,St James Pl & Oliver St,40.71307916,-73.99851193,
149,319,Park Pl & Church St,40.71336124,-74.00937622,
150,319,Park Pl & Church St,40.71336124,-74.00937622,
151,295,Pike St & E Broadway,40.71406667,-73.99293911,
152,3087,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,
153,502,Henry St & Grand St,40.71422,-73.98135,
154,307,Canal St & Rutgers St,40.71427487,-73.98990025,Manhattan
155,309,Murray St & West St,40.7149787,-74.013012,
156,309,Murray St & West St,40.7149787,-74.013012,
157,309,Murray St & West St,40.7149787,-74.013012,
158,309,Murray St & West St,40.7149787,-74.013012,
159,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,
160,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,
161,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,
162,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,
163,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,
164,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,
165,539,Metropolitan Ave & Bedford Ave,40.71535,-73.96024,
166,147,Greenwich St & Warren St,40.71542197,-74.01121978,
167,350,Clinton St & Grand St,40.71559509,-73.9870295,Manhattan
168,350,Clinton St & Grand St,40.71559509,-73.9870295,Manhattan
169,412,Forsyth St & Canal St,40.7158155,-73.99422366,
170,356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,Manhattan
171,146,Hudson St & Reade St,40.71625008,-74.0091059,
172,146,Hudson St & Reade St,40.71625008,-74.0091059,
173,146,Hudson St & Reade St,40.71625008,-74.0091059,
174,146,Hudson St & Reade St,40.71625008,-74.0091059,
175,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,
176,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,
177,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,
178,3094,Graham Ave & Withers St,40.7169811,-73.94485918,
179,311,Norfolk St & Broome St,40.7172274,-73.98802084,
180,3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,
181,276,Duane St & Greenwich St,40.71748752,-74.0104554,Manhattan
182,426,West St & Chambers St,40.71754834,-74.01322069,
183,426,West St & Chambers St,40.71754834,-74.01322069,
184,426,West St & Chambers St,40.71754834,-74.01322069,
185,426,West St & Chambers St,40.71754834,-74.01322069,
186,3090,N 8 St & Driggs Ave,40.71774592,-73.95600096,
187,341,Stanton St & Mangin St,40.71782143,-73.97628939,
188,341,Stanton St & Mangin St,40.71782143,-73.97628939,
189,349,Rivington St & Ridge St,40.71850211,-73.98329859,
190,531,Forsyth St & Broome St,40.71893904,-73.99266288,
191,531,Forsyth St & Broome St,40.71893904,-73.99266288,
192,531,Forsyth St & Broome St,40.71893904,-73.99266288,
193,3092,Berry St & N 8 St,40.7190095,-73.95852515,Manhattan
194,3092,Berry St & N 8 St,40.7190095,-73.95852515,Manhattan
195,268,Howard St & Centre St,40.71910537,-73.99973337,
196,268,Howard St & Centre St,40.71910537,-73.99973337,
197,79,Franklin St & W Broadway,40.71911552,-74.00666661,Manhattan
198,79,Franklin St & W Broadway,40.71911552,-74.00666661,Manhattan
199,79,Franklin St & W Broadway,40.71911552,-74.00666661,Manhattan
200,401,Allen St & Rivington St,40.72019576,-73.98997825,Manhattan
201,401,Allen St & Rivington St,40.72019576,-73.98997825,Manhattan
202,410,Suffolk St & Stanton St,40.72066,-73.98518,
203,410,Suffolk St & Stanton St,40.72066442,-73.98517977,
204,410,Suffolk St & Stanton St,40.72066442,-73.98517977,
205,473,Rivington St & Chrystie St,40.72110063,-73.9919254,
206,473,Rivington St & Chrystie St,40.72110063,-73.9919254,
207,3099,Leonard St & Manhattan Ave,40.7215224,-73.94898266,
208,3103,N 11 St & Wythe Ave,40.72153267,-73.95782357,Outer Boro
209,3102,Driggs Ave & Lorimer St,40.72179134,-73.9504154,Outer Boro
210,3102,Driggs Ave & Lorimer St,40.72179134,-73.9504154,Outer Boro
211,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,Manhattan
212,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,Manhattan
213,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,Manhattan
214,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,Manhattan
215,248,Laight St & Hudson St,40.72185379,-74.00771779,Manhattan
216,248,Laight St & Hudson St,40.72185379,-74.00771779,Manhattan
217,312,Allen St & E Houston St,40.722055,-73.989111,Manhattan
218,312,Allen St & E Houston St,40.722055,-73.989111,Manhattan
219,301,E 2 St & Avenue B,40.72217444,-73.98368779,Manhattan
220,301,E 2 St & Avenue B,40.72217444,-73.98368779,Manhattan
221,411,E 6 St & Avenue D,40.72228087,-73.97668709,Manhattan
222,265,Stanton St & Chrystie St,40.72229346,-73.99147535,Manhattan
223,265,Stanton St & Chrystie St,40.72229346,-73.99147535,Manhattan
224,377,6 Ave & Canal St,40.72243797,-74.00566443,Manhattan
225,393,E 5 St & Avenue C,40.72299208,-73.97995466,Manhattan
226,3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,Manhattan
227,251,Mott St & Prince St,40.72317958,-73.99480012,Manhattan
228,251,Mott St & Prince St,40.72317958,-73.99480012,Manhattan
229,251,Mott St & Prince St,40.72317958,-73.99480012,Manhattan
230,3106,Driggs Ave & N Henry St,40.72325,-73.94308,Manhattan
231,3106,Driggs Ave & N Henry St,40.72325,-73.94308,Manhattan
232,303,Mercer St & Spring St,40.72362738,-73.99949601,Manhattan
233,328,Watts St & Greenwich St,40.72405549,-74.00965965,Manhattan
234,2004,6 Ave & Broome St,40.724399,-74.004704,Manhattan
235,2004,6 Ave & Broome St,40.724399,-74.004704,Manhattan
236,317,E 6 St & Avenue B,40.72453734,-73.98185424,Manhattan
237,317,E 6 St & Avenue B,40.72453734,-73.98185424,Manhattan
238,250,Lafayette St & Jersey St,40.72456089,-73.99565293,Manhattan
239,428,E 3 St & 1 Ave,40.72467721,-73.98783413,Manhattan
240,428,E 3 St & 1 Ave,40.72467721,-73.98783413,Manhattan
241,428,E 3 St & 1 Ave,40.72467721,-73.98783413,Manhattan
242,428,E 3 St & 1 Ave,40.72467721,-73.98783413,Manhattan
243,348,W Broadway & Spring St,40.72490985,-74.00154702,Manhattan
244,348,W Broadway & Spring St,40.72490985,-74.00154702,Manhattan
245,403,E 2 St & 2 Ave,40.72502876,-73.99069656,Manhattan
246,403,E 2 St & 2 Ave,40.72502876,-73.99069656,Manhattan
247,403,E 2 St & 2 Ave,40.72502876,-73.99069656,Manhattan
248,403,E 2 St & 2 Ave,40.72502876,-73.99069656,Manhattan
249,3108,Nassau Ave & Russell St,40.72557,-73.94434,Manhattan
250,3111,Norman Ave & Leonard St,40.7258483,-73.95064893,Manhattan
