Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,,,,symbol
ADRO,"Aduro Biotech, Inc.",11.73,$757.9M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adro,,,,adro
AAAP,Advanced Accelerator Applications S.A.,30.49,$1.2B,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aaap,,,,aaap
AEIS,"Advanced Energy Industries, Inc.",38.18,$1.51B,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis,,,,aeis
AITP,Advanced Inhalation Therapies (AIT) Ltd.,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aitp,,,,aitp
AMD,"Advanced Micro Devices, Inc.",4.16,$3.3B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd,,,,amd
ADXS,"Advaxis, Inc.",8.97,$305.89M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxs,,,,adxs
ADXSW,"Advaxis, Inc.",5.56,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxsw,,,,adxsw
ADVM,"Adverum Biotechnologies, Inc.",4.46,$121.01M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/advm,,,,advm
MAUI,AdvisorShares Market Adaptive Unconstrained Income ETF,23.55,$2.36M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/maui,,,,maui
YPRO,AdvisorShares YieldPro ETF,23.4235,$33.38M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ypro,,,,ypro
AEGR,"Aegerion Pharmaceuticals, Inc.",1.71,$50.45M,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aegr,,,,aegr
AEGN,Aegion Corp,20.09,$705.31M,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/aegn,,,,aegn
AGLE,"Aeglea BioTherapeutics, Inc.",7.6,$101.93M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agle,,,,agle
AEHR,Aehr Test Systems,1.04,$13.69M,1997,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aehr,,,,aehr
AMTX,"Aemetis, Inc",2.61,$51.52M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amtx,,,,amtx
AEPI,AEP Industries Inc.,60.01,$306.5M,1986,Capital Goods,Specialty Chemicals,http://www.nasdaq.com/symbol/aepi,,,,aepi
AERI,"Aerie Pharmaceuticals, Inc.",18.29,$485.21M,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aeri,,,,aeri
AVAV,"AeroVironment, Inc.",29.58,$690.9M,2007,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/avav,,,,avav
AEZS,AEterna Zentaris Inc.,3.37,$33.5M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aezs,,,,aezs
AEMD,"Aethlon Medical, Inc.",5.6,$42.69M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/aemd,,,,aemd
AFMD,Affimed N.V.,3.62,$120.4M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/afmd,,,,afmd
AGEN,Agenus Inc.,4.38,$380.55M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agen,,,,agen
AGRX,"Agile Therapeutics, Inc.",8.1,$232.82M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agrx,,,,agrx
AGYS,"Agilysys, Inc.",11.23,$258M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/agys,,,,agys
AGIO,"Agios Pharmaceuticals, Inc.",56.8,$2.15B,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agio,,,,agio
AGFS,"AgroFresh Solutions, Inc.",5.04,$251.5M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/agfs,,,,agfs
AGFSW,"AgroFresh Solutions, Inc.",0.5,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/agfsw,,,,agfsw
AIMT,"Aimmune Therapeutics, Inc.",14.34,$605.83M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aimt,,,,aimt
AIRM,Air Methods Corporation,35.5,$1.36B,n/a,Transportation,Transportation Services,http://www.nasdaq.com/symbol/airm,,,,airm
AIRT,"Air T, Inc.",25.0842,$59.51M,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/airt,,,,airt
ATSG,"Air Transport Services Group, Inc",12.59,$802.71M,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/atsg,,,,atsg
AMCN,AirMedia Group Inc,4.08,$253.77M,2007,Technology,Advertising,http://www.nasdaq.com/symbol/amcn,,,,amcn
AIXG,Aixtron SE,6.4601,$720.83M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aixg,,,,aixg
AKAM,"Akamai Technologies, Inc.",53.55,$9.4B,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/akam,,,,akam
AKTX,Akari Therapeutics Plc,14,$164.88M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aktx,,,,aktx
AKBA,"Akebia Therapeutics, Inc.",8.84,$335.71M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akba,,,,akba
AKER,Akers Biosciences Inc,1.89,$10.25M,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/aker,,,,aker
AKRX,"Akorn, Inc.",30.995,$3.7B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akrx,,,,akrx
ALRM,"Alarm.com Holdings, Inc.",21.52,$981.04M,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/alrm,,,,alrm
ALSK,"Alaska Communications Systems Group, Inc.",1.76,$90.17M,1999,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alsk,,,,alsk
AMRI,"Albany Molecular Research, Inc.",14.7,$524.84M,1999,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/amri,,,,amri
ABDC,Alcentra Capital Corp.,12.25,$165.45M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abdc,,,,abdc
ADHD,Alcobra Ltd.,5.44,$149.93M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adhd,,,,adhd
ALDR,"Alder BioPharmaceuticals, Inc.",29.51,$1.47B,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldr,,,,aldr
ALDX,"Aldeyra Therapeutics, Inc.",5.62,$54.58M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldx,,,,aldx
ALXN,"Alexion Pharmaceuticals, Inc.",153.89,$34.47B,1996,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxn,,,,alxn
ALXA,"Alexza Pharmaceuticals, Inc.",0.9465,$20.59M,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxa,,,,alxa
ALCO,"Alico, Inc.",28.75,$238.89M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/alco,,,,alco
ALGN,"Align Technology, Inc.",78.4,$6.29B,2001,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/algn,,,,algn
ALIM,"Alimera Sciences, Inc.",1.62,$73.06M,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alim,,,,alim
ALJJ,"ALJ Regional Holdings, Inc.",4.27,$149.25M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/aljj,,,,aljj
ALKS,Alkermes plc,45.06,$6.81B,1991,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alks,,,,alks
ABTX,"Allegiance Bancshares, Inc.",24.66,$316.95M,2015,Finance,Major Banks,http://www.nasdaq.com/symbol/abtx,,,,abtx
ALGT,Allegiant Travel Company,138.61,$2.29B,2006,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/algt,,,,algt
AFOP,"Alliance Fiber Optic Products, Inc.",18.5,$292.37M,2000,Technology,Semiconductors,http://www.nasdaq.com/symbol/afop,,,,afop
AIQ,"Alliance HealthCare Services, Inc.",6.82,$73.21M,2001,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aiq,,,,aiq
AHGP,"Alliance Holdings GP, L.P.",19.11,$1.14B,2006,Energy,Coal Mining,http://www.nasdaq.com/symbol/ahgp,,,,ahgp
ARLP,"Alliance Resource Partners, L.P.",15.87,$1.18B,1999,Energy,Coal Mining,http://www.nasdaq.com/symbol/arlp,,,,arlp
AHPI,"Allied Healthcare Products, Inc.",0.5994,$4.81M,1992,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/ahpi,,,,ahpi
AMOT,"Allied Motion Technologies, Inc.",22.9,$215.31M,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/amot,,,,amot
ALQA,"Alliqua BioMedical, Inc.",1.14,$33.04M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/alqa,,,,alqa
ALLT,Allot Communications Ltd.,5.14,$172.49M,2006,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/allt,,,,allt
MDRX,"Allscripts Healthcare Solutions, Inc.",13.21,$2.47B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/mdrx,,,,mdrx
AFAM,Almost Family Inc,42.06,$436.42M,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/afam,,,,afam
ALNY,"Alnylam Pharmaceuticals, Inc.",70.2,$6.01B,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alny,,,,alny
AOSL,Alpha and Omega Semiconductor Limited,13.78,$309.11M,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/aosl,,,,aosl
GOOG,Alphabet Inc.,722.34,$495.93B,2004,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/goog,,,,goog
GOOGL,Alphabet Inc.,735.86,$505.21B,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/googl,,,,googl
SMCP,AlphaMark Actively Managed Small Cap ETF,21.6499,$22.73M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/smcp,,,,smcp
ATEC,"Alphatec Holdings, Inc.",0.2055,$21M,2006,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atec,,,,atec
ASPS,Altisource Portfolio Solutions S.A.,29,$535.9M,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/asps,,,,asps
AIMC,Altra Industrial Motion Corp.,27.46,$713.13M,2006,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aimc,,,,aimc
AMAG,"AMAG Pharmaceuticals, Inc.",21.57,$745.87M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amag,,,,amag
AMRN,Amarin Corporation PLC,2.23,$412.83M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amrn,,,,amrn
AMRK,"A-Mark Precious Metals, Inc.",15.75,$110.2M,n/a,Basic Industries,Other Specialty Stores,http://www.nasdaq.com/symbol/amrk,,,,amrk
AYA,Amaya Inc.,15.02,$2.18B,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/aya,,,,aya
AMZN,"Amazon.com, Inc.",725.54,$342.33B,1997,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/amzn,,,,amzn
AMBC,"Ambac Financial Group, Inc.",16.5,$743.28M,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambc,,,,ambc
AMBCW,"Ambac Financial Group, Inc.",7.26,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambcw,,,,ambcw
AMBA,"Ambarella, Inc.",46.47,$1.5B,2012,Technology,Semiconductors,http://www.nasdaq.com/symbol/amba,,,,amba
AMCX,AMC Networks Inc.,63.54,$4.62B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/amcx,,,,amcx
DOX,Amdocs Limited,57.78,$8.65B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dox,,,,dox
AMDA,Amedica Corporation,1.38,$18.27M,2014,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/amda,,,,amda
AMED,Amedisys Inc,52.56,$1.76B,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amed,,,,amed
UHAL,Amerco,373.67,$7.33B,n/a,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/uhal,,,,uhal
ATAX,"America First Multifamily Investors, L.P.",5.46,$328.98M,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/atax,,,,atax
AMOV,"America Movil, S.A.B. de C.V.",12.1999,$40.26B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amov,,,,amov
AAL,"American Airlines Group, Inc.",30.81,$17.81B,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/aal,,,,aal
AGNC,American Capital Agency Corp.,19.07,$6.31B,2008,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agnc,,,,agnc
AGNCB,American Capital Agency Corp.,25.39,$8.8B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncb,,,,agncb
AGNCP,American Capital Agency Corp.,26.33,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncp,,,,agncp
MTGE,American Capital Mortgage Investment Corp.,15.89,$727.12M,2011,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/mtge,,,,mtge
MTGEP,American Capital Mortgage Investment Corp.,24.8701,$49.74M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/mtgep,,,,mtgep
ACSF,"American Capital Senior Floating, Ltd.",10.54,$105.4M,2014,n/a,n/a,http://www.nasdaq.com/symbol/acsf,,,,acsf
ACAS,"American Capital, Ltd.",15.99,$3.49B,1997,n/a,n/a,http://www.nasdaq.com/symbol/acas,,,,acas
AETI,"American Electric Technologies, Inc.",2.39,$19.82M,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeti,,,,aeti
AMIC,American Independence Corp.,21.86,$176.81M,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/amic,,,,amic
AMNB,"American National Bankshares, Inc.",26.9,$231.68M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amnb,,,,amnb
ANAT,American National Insurance Company,119.06,$3.2B,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/anat,,,,anat
