,index,station.id,station.name,latitude,longitude,boroname,boro
159,160,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,,Manhattan
160,161,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,,Manhattan
161,162,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,,Brooklyn
162,163,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,,Brooklyn
163,164,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,,Brooklyn
164,165,539,Metropolitan Ave & Bedford Ave,40.71535,-73.96024,,Brooklyn
165,166,147,Greenwich St & Warren St,40.71542197,-74.01121978,,New York
166,167,350,Clinton St & Grand St,40.71559509,-73.9870295,Manhattan,Manhattan
167,168,350,Clinton St & Grand St,40.71559509,-73.9870295,Manhattan,Manhattan
168,169,412,Forsyth St & Canal St,40.7158155,-73.99422366,,Manhattan
169,170,356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,Manhattan,Manhattan
170,171,146,Hudson St & Reade St,40.71625008,-74.0091059,,Manhattan
171,172,146,Hudson St & Reade St,40.71625008,-74.0091059,,Manhattan
172,173,146,Hudson St & Reade St,40.71625008,-74.0091059,,Manhattan
173,174,146,Hudson St & Reade St,40.71625008,-74.0091059,,Manhattan
174,175,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,,Brooklyn
175,176,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,,Brooklyn
176,177,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,,Brooklyn
177,178,3094,Graham Ave & Withers St,40.7169811,-73.94485918,,Brooklyn
178,179,311,Norfolk St & Broome St,40.7172274,-73.98802084,,Manhattan
179,180,3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,,Brooklyn
180,181,276,Duane St & Greenwich St,40.71748752,-74.0104554,Manhattan,Manhattan
181,182,426,West St & Chambers St,40.71754834,-74.01322069,,New York
182,183,426,West St & Chambers St,40.71754834,-74.01322069,,New York
183,184,426,West St & Chambers St,40.71754834,-74.01322069,,New York
184,185,426,West St & Chambers St,40.71754834,-74.01322069,,New York
185,186,3090,N 8 St & Driggs Ave,40.71774592,-73.95600096,,Brooklyn
186,187,341,Stanton St & Mangin St,40.71782143,-73.97628939,,New York
187,188,341,Stanton St & Mangin St,40.71782143,-73.97628939,,New York
188,189,349,Rivington St & Ridge St,40.71850211,-73.98329859,,Manhattan
189,190,531,Forsyth St & Broome St,40.71893904,-73.99266288,,New York
190,191,531,Forsyth St & Broome St,40.71893904,-73.99266288,,New York
191,192,531,Forsyth St & Broome St,40.71893904,-73.99266288,,New York
192,193,3092,Berry St & N 8 St,40.7190095,-73.95852515,Manhattan,Brooklyn
193,194,3092,Berry St & N 8 St,40.7190095,-73.95852515,Manhattan,Brooklyn
194,195,268,Howard St & Centre St,40.71910537,-73.99973337,,Manhattan
195,196,268,Howard St & Centre St,40.71910537,-73.99973337,,Manhattan
196,197,79,Franklin St & W Broadway,40.71911552,-74.00666661,Manhattan,Manhattan
197,198,79,Franklin St & W Broadway,40.71911552,-74.00666661,Manhattan,Manhattan
198,199,79,Franklin St & W Broadway,40.71911552,-74.00666661,Manhattan,Manhattan
199,200,401,Allen St & Rivington St,40.72019576,-73.98997825,Manhattan,Manhattan
200,201,401,Allen St & Rivington St,40.72019576,-73.98997825,Manhattan,Manhattan
201,202,410,Suffolk St & Stanton St,40.72066,-73.98518,,Manhattan
202,203,410,Suffolk St & Stanton St,40.72066442,-73.98517977,,Manhattan
203,204,410,Suffolk St & Stanton St,40.72066442,-73.98517977,,Manhattan
204,205,473,Rivington St & Chrystie St,40.72110063,-73.9919254,,New York
205,206,473,Rivington St & Chrystie St,40.72110063,-73.9919254,,New York
206,207,3099,Leonard St & Manhattan Ave,40.7215224,-73.94898266,,Brooklyn
207,208,3103,N 11 St & Wythe Ave,40.72153267,-73.95782357,Outer Boro,Brooklyn
208,209,3102,Driggs Ave & Lorimer St,40.72179134,-73.9504154,Outer Boro,Brooklyn
209,210,3102,Driggs Ave & Lorimer St,40.72179134,-73.9504154,Outer Boro,Brooklyn
210,211,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,Manhattan,Manhattan
211,212,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,Manhattan,Manhattan
212,213,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,Manhattan,Manhattan
213,214,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,Manhattan,Manhattan
214,215,248,Laight St & Hudson St,40.72185379,-74.00771779,Manhattan,Manhattan
215,216,248,Laight St & Hudson St,40.72185379,-74.00771779,Manhattan,Manhattan
216,217,312,Allen St & E Houston St,40.722055,-73.989111,Manhattan,Manhattan
217,218,312,Allen St & E Houston St,40.722055,-73.989111,Manhattan,Manhattan
218,219,301,E 2 St & Avenue B,40.72217444,-73.98368779,Manhattan,Manhattan
219,220,301,E 2 St & Avenue B,40.72217444,-73.98368779,Manhattan,Manhattan
220,221,411,E 6 St & Avenue D,40.72228087,-73.97668709,Manhattan,Manhattan
221,222,265,Stanton St & Chrystie St,40.72229346,-73.99147535,Manhattan,New York
222,223,265,Stanton St & Chrystie St,40.72229346,-73.99147535,Manhattan,New York
223,224,377,6 Ave & Canal St,40.72243797,-74.00566443,Manhattan,New York
224,225,393,E 5 St & Avenue C,40.72299208,-73.97995466,Manhattan,Manhattan
225,226,3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,Manhattan,Brooklyn
226,227,251,Mott St & Prince St,40.72317958,-73.99480012,Manhattan,Manhattan
227,228,251,Mott St & Prince St,40.72317958,-73.99480012,Manhattan,Manhattan
228,229,251,Mott St & Prince St,40.72317958,-73.99480012,Manhattan,Manhattan
229,230,3106,Driggs Ave & N Henry St,40.72325,-73.94308,Manhattan,Brooklyn
230,231,3106,Driggs Ave & N Henry St,40.72325,-73.94308,Manhattan,Brooklyn
