,duration,distance
0,800.0,3352.0
1,137.0,516.0
2,621.0,2330.0
3,1268.0,6299.0
4,355.0,1283.0
5,1140.0,5661.0
6,701.0,2151.0
7,770.0,3229.0
8,327.0,1079.0
9,1071.0,4687.0
10,682.0,2377.0
11,786.0,3438.0
12,641.0,2232.0
13,536.0,1988.0
14,753.0,2430.0
15,586.0,2173.0
16,753.0,2430.0
17,753.0,2430.0
18,655.0,2558.0
19,655.0,2558.0
20,296.0,1143.0
21,424.0,1375.0
22,370.0,1244.0
23,782.0,3127.0
24,708.0,2844.0
25,951.0,4398.0
26,305.0,899.0
27,327.0,1079.0
28,831.0,3554.0
29,513.0,2233.0
30,296.0,1143.0
31,1049.0,4168.0
32,370.0,1244.0
33,1207.0,5297.0
34,336.0,1265.0
35,296.0,1143.0
36,1421.0,6634.0
37,1291.0,6859.0
38,708.0,2844.0
39,0.0,0.0
40,2143.0,11485.0
41,327.0,1079.0
42,390.0,1541.0
43,1042.0,4236.0
44,606.0,2312.0
45,526.0,2047.0
46,1410.0,6513.0
47,336.0,1265.0
48,355.0,1283.0
49,464.0,1606.0
50,464.0,1606.0
51,562.0,2007.0
52,336.0,1265.0
53,746.0,2969.0
54,1037.0,4176.0
55,562.0,2007.0
56,478.0,1641.0
57,478.0,1641.0
58,655.0,2323.0
59,297.0,862.0
60,606.0,2312.0
61,701.0,2846.0
62,762.0,2524.0
63,1376.0,5390.0
64,152.0,580.0
65,447.0,1583.0
66,1313.0,4764.0
67,1268.0,6299.0
68,753.0,2430.0
69,536.0,1988.0
70,296.0,1143.0
71,297.0,862.0
72,641.0,2232.0
73,1008.0,4124.0
74,951.0,4398.0
75,322.0,847.0
76,1600.0,8239.0
77,552.0,2216.0
78,458.0,1643.0
79,531.0,2064.0
80,322.0,847.0
81,718.0,2468.0
82,472.0,1860.0
83,322.0,847.0
84,265.0,768.0
85,233.0,656.0
86,197.0,269.0
87,372.0,1233.0
88,0.0,0.0
89,1460.0,6497.0
90,951.0,3763.0
91,592.0,2869.0
92,381.0,1669.0
93,1673.0,7846.0
94,1324.0,5565.0
95,615.0,3024.0
96,516.0,1786.0
97,524.0,1900.0
