,index,latitude,longitude,duration
207,2444.0,40.762721,-74.0006688,232.0
208,2444.0,40.7608377,-74.0024927,44.0
209,2444.0,40.76073,-74.0025571,2.0
210,2444.0,40.7484741,-74.0080489,257.0
211,2444.0,40.7126742,-74.0145712,715.0
212,2444.0,40.711139,-74.0148242,30.0
213,2444.0,40.7115396,-74.0157253,14.0
214,2445.0,40.7601347,-73.9848652,8.0
215,2445.0,40.7598383,-73.9841848,11.0
216,2445.0,40.756034,-73.9869451,110.0
217,2445.0,40.7558224,-73.9864397,36.0
218,2445.0,40.7483075,-73.9882029,193.0
219,2445.0,40.7471648,-73.985504,47.0
220,2445.0,40.7477694,-73.985072,116.0
221,2445.0,40.7476908,-73.9848838,16.0
222,2446.0,40.7601347,-73.9848652,8.0
223,2446.0,40.7598383,-73.9841848,11.0
224,2446.0,40.757961,-73.9855313,66.0
225,2446.0,40.758453,-73.986713,18.0
226,2446.0,40.7578253,-73.9871766,14.0
227,2446.0,40.754915,-73.980207,175.0
228,2447.0,40.7601347,-73.9848652,8.0
229,2447.0,40.7527056,-73.9671922,474.0
230,2447.0,40.7755575,-73.9503358,727.0
231,2447.0,40.7756939,-73.9506572,64.0
232,2448.0,40.7601347,-73.9848652,8.0
233,2448.0,40.7598383,-73.9841848,11.0
234,2448.0,40.757961,-73.9855313,66.0
235,2448.0,40.758453,-73.986713,18.0
236,2448.0,40.7578253,-73.9871766,14.0
237,2448.0,40.754915,-73.980207,175.0
238,2449.0,40.7601347,-73.9848652,8.0
239,2449.0,40.7546441,-73.9718458,355.0
240,2450.0,40.7594242,-73.9851254,19.0
241,2450.0,40.7616238,-73.9903386,113.0
242,2450.0,40.7591092,-73.9921629,78.0
243,2450.0,40.762721,-74.0006688,232.0
244,2450.0,40.7608377,-74.0024927,44.0
245,2450.0,40.76073,-74.0025571,2.0
246,2450.0,40.7484741,-74.0080489,257.0
247,2450.0,40.7126742,-74.0145712,715.0
248,2450.0,40.711139,-74.0148242,30.0
249,2450.0,40.7115396,-74.0157253,14.0
250,2451.0,40.7601347,-73.9848652,8.0
251,2451.0,40.7598383,-73.9841848,11.0
252,2451.0,40.756034,-73.9869451,110.0
253,2451.0,40.7558224,-73.9864397,36.0
254,2451.0,40.7423132,-73.9890177,309.0
255,2451.0,40.7322455,-73.9963803,280.0
256,2451.0,40.7300201,-73.9910974,141.0
257,2451.0,40.7303214,-73.9908417,34.0
258,2452.0,40.7601347,-73.9848652,8.0
259,2452.0,40.7546441,-73.9718458,355.0
260,2453.0,40.7601347,-73.9848652,8.0
261,2453.0,40.7546441,-73.9718458,355.0
262,2454.0,40.7601347,-73.9848652,8.0
263,2454.0,40.7572583,-73.97805,199.0
264,2455.0,40.7594242,-73.9851254,19.0
265,2455.0,40.760411,-73.9874575,40.0
266,2455.0,40.7660501,-73.9833663,159.0
267,2455.0,40.7654858,-73.9820275,23.0
268,2455.0,40.7652938,-73.982078,3.0
269,2456.0,40.7601347,-73.9848652,8.0
270,2456.0,40.7598383,-73.9841848,11.0
271,2456.0,40.756034,-73.9869451,110.0
272,2456.0,40.7558224,-73.9864397,36.0
273,2456.0,40.7423871,-73.9890975,307.0
274,2457.0,40.7594242,-73.9851254,19.0
275,2457.0,40.7616238,-73.9903386,113.0
276,2457.0,40.7502703,-73.9986404,356.0
277,2457.0,40.7526569,-74.0042751,111.0
278,2457.0,40.7513833,-74.0051955,57.0
279,2458.0,40.7601347,-73.9848652,8.0
280,2458.0,40.7598383,-73.9841848,11.0
281,2458.0,40.7447655,-73.9951703,382.0
282,2458.0,40.7448325,-73.9953307,29.0
283,2459.0,40.7594242,-73.9851254,19.0
284,2459.0,40.7616238,-73.9903386,113.0
285,2459.0,40.7602309,-73.9913464,56.0
286,2460.0,40.7601347,-73.9848652,8.0
