,station.id,station.name,latitude,longitude,year,index,boro
59,262,Washington Park,40.6917823,-73.9737299,2013,60,Brooklyn
60,263,Elizabeth St & Hester St,40.71729,-73.996375,2013,61,Manhattan
61,264,Maiden Ln & Pearl St,40.70706456,-74.00731853,2013,62,Manhattan
62,265,Stanton St & Chrystie St,40.72229346,-73.99147535,2013,63,New York
63,266,Avenue D & E 8 St,40.72368361,-73.97574813,2013,64,Manhattan
64,267,Broadway & W 36 St,40.75097711,-73.98765428,2013,65,Manhattan
65,268,Howard St & Centre St,40.71910537,-73.99973337,2013,66,Manhattan
66,270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,2013,67,Brooklyn
67,274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,2013,68,Brooklyn
68,275,Washington Ave & Greene Ave,40.68650065,-73.96563307,2013,69,Brooklyn
69,276,Duane St & Greenwich St,40.71748752,-74.0104554,2013,70,Manhattan
70,278,Concord St & Bridge St,40.69766564,-73.98476437,2013,71,Brooklyn
71,279,Peck Slip & Front St,40.707873,-74.00167,2013,72,Manhattan
72,280,E 10 St & 5 Ave,40.73331967,-73.99510132,2013,73,Manhattan
73,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,2013,74,Manhattan
74,282,Kent Ave & S 11 St,40.70827295,-73.96834101,2013,75,Brooklyn
75,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,2013,76,Manhattan
76,285,Broadway & E 14 St,40.73454567,-73.99074142,2013,77,Manhattan
77,289,Monroe St & Classon Ave,40.6845683,-73.95881081,2013,78,Brooklyn
78,291,Madison St & Montgomery St,40.713126,-73.984844,2013,79,Manhattan
79,293,Lafayette St & E 8 St,40.73028666,-73.9907647,2013,80,Manhattan
80,294,Washington Square E,40.73049393,-73.9957214,2013,81,Manhattan
81,295,Pike St & E Broadway,40.71406667,-73.99293911,2013,82,Manhattan
82,296,Division St & Bowery,40.71413089,-73.9970468,2013,83,Manhattan
83,297,E 15 St & 3 Ave,40.734232,-73.986923,2013,84,Manhattan
84,298,3 Ave & Schermerhorn St,40.68683208,-73.9796772,2013,85,Kings County
85,300,Shevchenko Pl & E 7 St,40.728145,-73.990214,2013,86,Manhattan
86,301,E 2 St & Avenue B,40.72217444,-73.98368779,2013,87,Manhattan
87,302,Avenue D & E 3 St,40.72082834,-73.97793172,2013,88,Manhattan
88,303,Mercer St & Spring St,40.72362738,-73.99949601,2013,89,Manhattan
89,304,Broadway & Battery Pl,40.70463334,-74.01361706,2013,90,Manhattan
90,305,E 58 St & 3 Ave,40.76095756,-73.96724467,2013,91,Manhattan
91,306,Cliff St & Fulton St,40.70823502,-74.00530063,2013,92,Manhattan
92,307,Canal St & Rutgers St,40.71427487,-73.98990025,2013,93,Manhattan
93,308,St James Pl & Oliver St,40.71307916,-73.99851193,2013,94,Manhattan
94,309,Murray St & West St,40.7149787,-74.013012,2013,95,Manhattan
